CHH context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	454	29296	1.53	29750
2	323	28863	1.11	29186
3	279	30081	0.92	30360
4	315	31321	1.00	31636
5	288	29473	0.97	29761
6	256	29948	0.85	30204
7	299	30580	0.97	30879
8	277	30008	0.91	30285
9	297	30334	0.97	30631
10	300	30415	0.98	30715
11	295	30470	0.96	30765
12	332	30660	1.07	30992
13	275	31136	0.88	31411
14	268	30665	0.87	30933
15	292	31135	0.93	31427
16	288	31269	0.91	31557
17	278	31311	0.88	31589
18	273	31369	0.86	31642
19	299	31323	0.95	31622
20	293	31316	0.93	31609
21	280	31504	0.88	31784
22	273	31494	0.86	31767
23	300	31397	0.95	31697
24	292	31044	0.93	31336
25	277	31334	0.88	31611
26	273	31360	0.86	31633
27	317	31162	1.01	31479
28	296	31381	0.93	31677
29	279	31253	0.88	31532
30	270	31613	0.85	31883
31	284	31663	0.89	31947
32	277	31425	0.87	31702
33	305	31397	0.96	31702
34	272	31551	0.85	31823
35	273	31333	0.86	31606
36	276	31248	0.88	31524
37	273	31690	0.85	31963
38	259	31362	0.82	31621
39	310	31469	0.98	31779
40	275	31538	0.86	31813
41	286	31251	0.91	31537
42	283	30953	0.91	31236
43	296	31312	0.94	31608
44	273	31323	0.86	31596
45	292	31331	0.92	31623
46	292	31533	0.92	31825
47	308	30886	0.99	31194
48	268	31051	0.86	31319
49	278	30735	0.90	31013
50	287	30966	0.92	31253
51	277	31010	0.89	31287
52	273	30915	0.88	31188
53	247	30772	0.80	31019
54	293	30705	0.95	30998
55	280	30977	0.90	31257
56	274	30795	0.88	31069
57	280	30759	0.90	31039
58	289	30860	0.93	31149
59	280	30562	0.91	30842
60	286	30536	0.93	30822
61	276	30656	0.89	30932
62	276	30372	0.90	30648
63	278	30600	0.90	30878
64	275	30297	0.90	30572
65	256	30276	0.84	30532
66	255	30306	0.83	30561
67	273	30473	0.89	30746
68	257	30102	0.85	30359
69	288	30199	0.94	30487
70	294	30029	0.97	30323
71	306	29828	1.02	30134
72	300	29898	0.99	30198
73	292	29990	0.96	30282
74	282	29609	0.94	29891
75	277	29928	0.92	30205
76	295	29794	0.98	30089
77	236	29631	0.79	29867
78	300	29657	1.00	29957
79	295	29862	0.98	30157
80	299	29579	1.00	29878
81	288	29615	0.96	29903
82	288	29753	0.96	30041
83	276	29259	0.93	29535
84	286	29661	0.96	29947
85	288	29463	0.97	29751
86	284	29060	0.97	29344
87	289	29021	0.99	29310
88	285	29115	0.97	29400
89	292	28975	1.00	29267
90	298	28718	1.03	29016
91	280	28908	0.96	29188
92	288	28543	1.00	28831
93	250	28623	0.87	28873
94	254	28713	0.88	28967
95	313	28380	1.09	28693
96	285	28486	0.99	28771
97	309	28430	1.08	28739
98	327	28203	1.15	28530
99	313	28113	1.10	28426
100	294	28527	1.02	28821
