CHH context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	938	66745	1.39	67683
2	572	58067	0.98	58639
3	584	58527	0.99	59111
4	617	62661	0.98	63278
5	512	58518	0.87	59030
6	507	58985	0.85	59492
7	529	60953	0.86	61482
8	539	59138	0.90	59677
9	478	60766	0.78	61244
10	520	61637	0.84	62157
11	496	61705	0.80	62201
12	503	61582	0.81	62085
13	476	62278	0.76	62754
14	479	61985	0.77	62464
15	493	61994	0.79	62487
16	486	63336	0.76	63822
17	429	62840	0.68	63269
18	435	62576	0.69	63011
19	476	63249	0.75	63725
20	537	62465	0.85	63002
21	453	62619	0.72	63072
22	475	63190	0.75	63665
23	479	62537	0.76	63016
24	445	62757	0.70	63202
25	461	63078	0.73	63539
26	459	62015	0.73	62474
27	474	62206	0.76	62680
28	490	62596	0.78	63086
29	460	62599	0.73	63059
30	455	62564	0.72	63019
31	459	62860	0.72	63319
32	473	62480	0.75	62953
33	451	62698	0.71	63149
34	492	62413	0.78	62905
35	454	62440	0.72	62894
36	472	62504	0.75	62976
37	476	62575	0.75	63051
38	494	61924	0.79	62418
39	452	62313	0.72	62765
40	432	62779	0.68	63211
41	480	61553	0.77	62033
42	464	61928	0.74	62392
43	445	62523	0.71	62968
44	464	61884	0.74	62348
45	446	61549	0.72	61995
46	477	62505	0.76	62982
47	468	61592	0.75	62060
48	458	61780	0.74	62238
49	491	61764	0.79	62255
50	432	61549	0.70	61981
51	487	61611	0.78	62098
52	492	61722	0.79	62214
53	466	61236	0.76	61702
54	477	61307	0.77	61784
55	433	61583	0.70	62016
56	436	60759	0.71	61195
57	407	61050	0.66	61457
58	441	60789	0.72	61230
59	466	60662	0.76	61128
60	455	60560	0.75	61015
61	482	60451	0.79	60933
62	451	60445	0.74	60896
63	508	59893	0.84	60401
64	493	60358	0.81	60851
65	447	60040	0.74	60487
66	467	59869	0.77	60336
67	417	60328	0.69	60745
68	488	60161	0.80	60649
69	466	59739	0.77	60205
70	461	60067	0.76	60528
71	443	59684	0.74	60127
72	481	59416	0.80	59897
73	482	59794	0.80	60276
74	438	58982	0.74	59420
75	420	59429	0.70	59849
76	459	59290	0.77	59749
77	439	58952	0.74	59391
78	483	58963	0.81	59446
79	459	59003	0.77	59462
80	442	58585	0.75	59027
81	443	58237	0.75	58680
82	437	58606	0.74	59043
83	502	58433	0.85	58935
84	454	57997	0.78	58451
85	466	58199	0.79	58665
86	454	58260	0.77	58714
87	453	58015	0.77	58468
88	446	57883	0.76	58329
89	457	57292	0.79	57749
90	465	57241	0.81	57706
91	475	57161	0.82	57636
92	465	57056	0.81	57521
93	457	56993	0.80	57450
94	491	56822	0.86	57313
95	481	56651	0.84	57132
96	505	56270	0.89	56775
97	466	56366	0.82	56832
98	497	55950	0.88	56447
99	502	56290	0.88	56792
100	445	56241	0.79	56686
