CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	274	29380	0.92	29654
2	283	28733	0.98	29016
3	441	32346	1.35	32787
4	300	32297	0.92	32597
5	273	31922	0.85	32195
6	257	32568	0.78	32825
7	307	32079	0.95	32386
8	296	32391	0.91	32687
9	280	32387	0.86	32667
10	265	32191	0.82	32456
11	259	31815	0.81	32074
12	313	32549	0.95	32862
13	279	32270	0.86	32549
14	283	32131	0.87	32414
15	267	32530	0.81	32797
16	289	32532	0.88	32821
17	277	32477	0.85	32754
18	281	32956	0.85	33237
19	249	32254	0.77	32503
20	510	30852	1.63	31362
21	447	31635	1.39	32082
22	262	32290	0.80	32552
23	264	32298	0.81	32562
24	287	32803	0.87	33090
25	303	32914	0.91	33217
26	275	32470	0.84	32745
27	287	32893	0.86	33180
28	261	33005	0.78	33266
29	294	32628	0.89	32922
30	278	32721	0.84	32999
31	264	32523	0.81	32787
32	281	32256	0.86	32537
33	302	32579	0.92	32881
34	328	32382	1.00	32710
35	327	32332	1.00	32659
36	290	32790	0.88	33080
37	352	32356	1.08	32708
38	347	32029	1.07	32376
39	316	32692	0.96	33008
40	305	32377	0.93	32682
41	291	32457	0.89	32748
42	285	32647	0.87	32932
43	242	32244	0.74	32486
44	245	32194	0.76	32439
45	266	32310	0.82	32576
46	413	31749	1.28	32162
47	265	32579	0.81	32844
48	308	32623	0.94	32931
49	354	31902	1.10	32256
50	351	32107	1.08	32458
51	284	32698	0.86	32982
52	285	32591	0.87	32876
53	258	32299	0.79	32557
54	295	32483	0.90	32778
55	273	32273	0.84	32546
56	269	32395	0.82	32664
57	261	32833	0.79	33094
58	275	32672	0.83	32947
59	278	32281	0.85	32559
60	301	32578	0.92	32879
61	291	32275	0.89	32566
62	266	32303	0.82	32569
63	297	32638	0.90	32935
64	290	32572	0.88	32862
65	329	32102	1.01	32431
66	295	32335	0.90	32630
67	316	32326	0.97	32642
68	282	32501	0.86	32783
69	304	32779	0.92	33083
70	297	32334	0.91	32631
71	328	31828	1.02	32156
72	308	32476	0.94	32784
73	323	32291	0.99	32614
74	265	32373	0.81	32638
75	302	32230	0.93	32532
76	323	32820	0.97	33143
77	314	32225	0.96	32539
78	343	32543	1.04	32886
79	297	32412	0.91	32709
80	290	32235	0.89	32525
81	311	32399	0.95	32710
82	352	31716	1.10	32068
83	353	31568	1.11	31921
84	326	31843	1.01	32169
85	318	32066	0.98	32384
86	316	32137	0.97	32453
87	321	32372	0.98	32693
88	328	32078	1.01	32406
89	298	32082	0.92	32380
90	303	32324	0.93	32627
91	305	32332	0.93	32637
92	307	31910	0.95	32217
93	309	32216	0.95	32525
94	314	32129	0.97	32443
95	295	31802	0.92	32097
96	326	32162	1.00	32488
97	327	32040	1.01	32367
98	326	32033	1.01	32359
99	331	31819	1.03	32150
100	318	31999	0.98	32317
