CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	375	45759	0.81	46134
2	335	40270	0.83	40605
3	692	46601	1.46	47293
4	321	46648	0.68	46969
5	308	45178	0.68	45486
6	308	45818	0.67	46126
7	368	45599	0.80	45967
8	323	45723	0.70	46046
9	337	45555	0.73	45892
10	332	45180	0.73	45512
11	319	44903	0.71	45222
12	309	45495	0.67	45804
13	318	45718	0.69	46036
14	317	45510	0.69	45827
15	329	46503	0.70	46832
16	300	46121	0.65	46421
17	326	45536	0.71	45862
18	362	45829	0.78	46191
19	311	45490	0.68	45801
20	838	42702	1.92	43540
21	710	43793	1.60	44503
22	339	45629	0.74	45968
23	343	45607	0.75	45950
24	308	46099	0.66	46407
25	343	45814	0.74	46157
26	318	45441	0.69	45759
27	313	46255	0.67	46568
28	322	45795	0.70	46117
29	334	45420	0.73	45754
30	329	46081	0.71	46410
31	350	45372	0.77	45722
32	361	45250	0.79	45611
33	363	45719	0.79	46082
34	412	45258	0.90	45670
35	343	45569	0.75	45912
36	323	45839	0.70	46162
37	439	45378	0.96	45817
38	401	44827	0.89	45228
39	426	45322	0.93	45748
40	374	45367	0.82	45741
41	375	45111	0.82	45486
42	323	46002	0.70	46325
43	333	45449	0.73	45782
44	350	45611	0.76	45961
45	348	45809	0.75	46157
46	616	44040	1.38	44656
47	333	44997	0.73	45330
48	351	45444	0.77	45795
49	536	44521	1.19	45057
50	532	44794	1.17	45326
51	369	46045	0.80	46414
52	331	45692	0.72	46023
53	372	45091	0.82	45463
54	391	44868	0.86	45259
55	333	45523	0.73	45856
56	352	45304	0.77	45656
57	376	45491	0.82	45867
58	303	45846	0.66	46149
59	375	45177	0.82	45552
60	348	45542	0.76	45890
61	360	45515	0.78	45875
62	343	45170	0.75	45513
63	389	45069	0.86	45458
64	350	45322	0.77	45672
65	366	45155	0.80	45521
66	346	45556	0.75	45902
67	394	45141	0.87	45535
68	386	44830	0.85	45216
69	339	45453	0.74	45792
70	385	45413	0.84	45798
71	462	44475	1.03	44937
72	336	44913	0.74	45249
73	361	45169	0.79	45530
74	350	44834	0.77	45184
75	372	45233	0.82	45605
76	329	45526	0.72	45855
77	395	45023	0.87	45418
78	396	45387	0.86	45783
79	368	45666	0.80	46034
80	321	45240	0.70	45561
81	370	45080	0.81	45450
82	498	44159	1.12	44657
83	417	44510	0.93	44927
84	413	44965	0.91	45378
85	390	44936	0.86	45326
86	361	44610	0.80	44971
87	397	44570	0.88	44967
88	378	45596	0.82	45974
89	386	45019	0.85	45405
90	377	45417	0.82	45794
91	339	45059	0.75	45398
92	344	44839	0.76	45183
93	405	44936	0.89	45341
94	383	44812	0.85	45195
95	380	44541	0.85	44921
96	362	44887	0.80	45249
97	400	44730	0.89	45130
98	405	44809	0.90	45214
99	374	44743	0.83	45117
100	411	44382	0.92	44793
