CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	678	63491	1.06	64169
2	585	57192	1.01	57777
3	814	65503	1.23	66317
4	586	65164	0.89	65750
5	550	64181	0.85	64731
6	537	65165	0.82	65702
7	517	65103	0.79	65620
8	519	65585	0.79	66104
9	576	65026	0.88	65602
10	506	65060	0.77	65566
11	528	65111	0.80	65639
12	541	65324	0.82	65865
13	506	65596	0.77	66102
14	495	65379	0.75	65874
15	474	66054	0.71	66528
16	466	65573	0.71	66039
17	494	65408	0.75	65902
18	494	65672	0.75	66166
19	439	65476	0.67	65915
20	821	63613	1.27	64434
21	679	64673	1.04	65352
22	480	65414	0.73	65894
23	470	64711	0.72	65181
24	470	65275	0.71	65745
25	527	65545	0.80	66072
26	472	64950	0.72	65422
27	557	65816	0.84	66373
28	467	65584	0.71	66051
29	444	65227	0.68	65671
30	461	65615	0.70	66076
31	481	64987	0.73	65468
32	546	64990	0.83	65536
33	492	65062	0.75	65554
34	780	64408	1.20	65188
35	528	65093	0.80	65621
36	492	65924	0.74	66416
37	565	65212	0.86	65777
38	498	64975	0.76	65473
39	526	65175	0.80	65701
40	500	65116	0.76	65616
41	558	64281	0.86	64839
42	481	64683	0.74	65164
43	481	65339	0.73	65820
44	448	65138	0.68	65586
45	466	65736	0.70	66202
46	682	64036	1.05	64718
47	502	64935	0.77	65437
48	491	65499	0.74	65990
49	538	64889	0.82	65427
50	512	64728	0.78	65240
51	491	65514	0.74	66005
52	470	65237	0.72	65707
53	539	64814	0.82	65353
54	524	64821	0.80	65345
55	495	64766	0.76	65261
56	454	65048	0.69	65502
57	535	65170	0.81	65705
58	447	65534	0.68	65981
59	545	64624	0.84	65169
60	438	65662	0.66	66100
61	444	64958	0.68	65402
62	461	64805	0.71	65266
63	452	65439	0.69	65891
64	491	64909	0.75	65400
65	524	64682	0.80	65206
66	497	64961	0.76	65458
67	573	64740	0.88	65313
68	526	64488	0.81	65014
69	448	65389	0.68	65837
70	468	65048	0.71	65516
71	535	64712	0.82	65247
72	463	65158	0.71	65621
73	496	65205	0.75	65701
74	492	64760	0.75	65252
75	537	65384	0.81	65921
76	504	65118	0.77	65622
77	532	64362	0.82	64894
78	506	65095	0.77	65601
79	472	65246	0.72	65718
80	500	64803	0.77	65303
81	518	65230	0.79	65748
82	588	64322	0.91	64910
83	560	63995	0.87	64555
84	551	64766	0.84	65317
85	524	64965	0.80	65489
86	549	64653	0.84	65202
87	533	65013	0.81	65546
88	522	64868	0.80	65390
89	511	64724	0.78	65235
90	508	64979	0.78	65487
91	503	64665	0.77	65168
92	529	64258	0.82	64787
93	520	64791	0.80	65311
94	467	64562	0.72	65029
95	590	64335	0.91	64925
96	552	64441	0.85	64993
97	543	64552	0.83	65095
98	526	64419	0.81	64945
99	548	64553	0.84	65101
100	519	64901	0.79	65420
