CHG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	13	1289	1.00	1302
2	8	1752	0.45	1760
3	11	1320	0.83	1331
4	8	1146	0.69	1154
5	13	1443	0.89	1456
6	16	1462	1.08	1478
7	9	1465	0.61	1474
8	12	1388	0.86	1400
9	12	1370	0.87	1382
10	12	1402	0.85	1414
11	6	1370	0.44	1376
12	8	1424	0.56	1432
13	4	1397	0.29	1401
14	5	1371	0.36	1376
15	8	1363	0.58	1371
16	5	1353	0.37	1358
17	10	1427	0.70	1437
18	6	1397	0.43	1403
19	11	1340	0.81	1351
20	9	1434	0.62	1443
21	16	1403	1.13	1419
22	8	1319	0.60	1327
23	9	1416	0.63	1425
24	12	1391	0.86	1403
25	8	1362	0.58	1370
26	12	1395	0.85	1407
27	6	1453	0.41	1459
28	13	1368	0.94	1381
29	9	1375	0.65	1384
30	10	1378	0.72	1388
31	7	1372	0.51	1379
32	5	1372	0.36	1377
33	6	1390	0.43	1396
34	13	1335	0.96	1348
35	12	1391	0.86	1403
36	4	1423	0.28	1427
37	12	1343	0.89	1355
38	8	1294	0.61	1302
39	6	1358	0.44	1364
40	10	1308	0.76	1318
41	11	1365	0.80	1376
42	7	1315	0.53	1322
43	4	1359	0.29	1363
44	10	1409	0.70	1419
45	7	1323	0.53	1330
46	7	1426	0.49	1433
47	5	1363	0.37	1368
48	12	1312	0.91	1324
49	6	1281	0.47	1287
50	2	1294	0.15	1296
51	9	1343	0.67	1352
52	12	1369	0.87	1381
53	9	1336	0.67	1345
54	4	1329	0.30	1333
55	6	1347	0.44	1353
56	9	1325	0.67	1334
57	11	1348	0.81	1359
58	5	1336	0.37	1341
59	6	1325	0.45	1331
60	6	1331	0.45	1337
61	11	1286	0.85	1297
62	3	1326	0.23	1329
63	9	1301	0.69	1310
64	5	1314	0.38	1319
65	6	1306	0.46	1312
66	6	1325	0.45	1331
67	8	1327	0.60	1335
68	9	1313	0.68	1322
69	9	1283	0.70	1292
70	10	1247	0.80	1257
71	9	1289	0.69	1298
72	5	1282	0.39	1287
73	5	1311	0.38	1316
74	9	1277	0.70	1286
75	11	1297	0.84	1308
76	11	1318	0.83	1329
77	10	1284	0.77	1294
78	6	1268	0.47	1274
79	13	1257	1.02	1270
80	4	1260	0.32	1264
81	13	1271	1.01	1284
82	8	1311	0.61	1319
83	10	1271	0.78	1281
84	7	1202	0.58	1209
85	5	1178	0.42	1183
86	7	1244	0.56	1251
87	16	1220	1.29	1236
88	9	1291	0.69	1300
89	7	1224	0.57	1231
90	10	1224	0.81	1234
91	5	1207	0.41	1212
92	9	1239	0.72	1248
93	5	1230	0.40	1235
94	10	1244	0.80	1254
95	9	1215	0.74	1224
96	10	1222	0.81	1232
97	8	1182	0.67	1190
98	6	1201	0.50	1207
99	18	1174	1.51	1192
100	14	1171	1.18	1185
