CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	170	23760	0.71	23930
2	149	22605	0.65	22754
3	243	26007	0.93	26250
4	200	25529	0.78	25729
5	190	25824	0.73	26014
6	184	25202	0.72	25386
7	190	25699	0.73	25889
8	185	26231	0.70	26416
9	206	25706	0.79	25912
10	175	25659	0.68	25834
11	170	25995	0.65	26165
12	188	25964	0.72	26152
13	205	25804	0.79	26009
14	195	25772	0.75	25967
15	156	25820	0.60	25976
16	183	25636	0.71	25819
17	165	26073	0.63	26238
18	174	26322	0.66	26496
19	193	26094	0.73	26287
20	316	24999	1.25	25315
21	260	25309	1.02	25569
22	159	26010	0.61	26169
23	173	26475	0.65	26648
24	206	26045	0.78	26251
25	202	25626	0.78	25828
26	199	26001	0.76	26200
27	191	26118	0.73	26309
28	166	26085	0.63	26251
29	172	26314	0.65	26486
30	168	26446	0.63	26614
31	174	26259	0.66	26433
32	199	26131	0.76	26330
33	163	26346	0.61	26509
34	344	25418	1.34	25762
35	227	26094	0.86	26321
36	171	25942	0.65	26113
37	250	25622	0.97	25872
38	188	26452	0.71	26640
39	202	26096	0.77	26298
40	203	26418	0.76	26621
41	209	26129	0.79	26338
42	172	26177	0.65	26349
43	181	25951	0.69	26132
44	171	26094	0.65	26265
45	188	26131	0.71	26319
46	255	25977	0.97	26232
47	179	26112	0.68	26291
48	194	26328	0.73	26522
49	238	26238	0.90	26476
50	191	26295	0.72	26486
51	192	26758	0.71	26950
52	162	26656	0.60	26818
53	155	26548	0.58	26703
54	210	26229	0.79	26439
55	183	26145	0.70	26328
56	179	26120	0.68	26299
57	217	26048	0.83	26265
58	188	26007	0.72	26195
59	207	26025	0.79	26232
60	177	26259	0.67	26436
61	169	26098	0.64	26267
62	184	26070	0.70	26254
63	173	26259	0.65	26432
64	181	25952	0.69	26133
65	201	26223	0.76	26424
66	189	26265	0.71	26454
67	207	25899	0.79	26106
68	195	26168	0.74	26363
69	185	26384	0.70	26569
70	172	26016	0.66	26188
71	194	26039	0.74	26233
72	164	26437	0.62	26601
73	226	25997	0.86	26223
74	180	26227	0.68	26407
75	185	26026	0.71	26211
76	194	25977	0.74	26171
77	227	26250	0.86	26477
78	186	25921	0.71	26107
79	198	26006	0.76	26204
80	206	26328	0.78	26534
81	198	26030	0.75	26228
82	196	25890	0.75	26086
83	207	26328	0.78	26535
84	194	25972	0.74	26166
85	183	25940	0.70	26123
86	185	25783	0.71	25968
87	218	26022	0.83	26240
88	183	25867	0.70	26050
89	186	26230	0.70	26416
90	217	25872	0.83	26089
91	177	26405	0.67	26582
92	188	25720	0.73	25908
93	195	26191	0.74	26386
94	195	26138	0.74	26333
95	222	25864	0.85	26086
96	215	26046	0.82	26261
97	206	25773	0.79	25979
98	210	25856	0.81	26066
99	235	25939	0.90	26174
100	203	25785	0.78	25988
