CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	116	10568	1.09	10684
2	52	8253	0.63	8305
3	113	11781	0.95	11894
4	115	11390	1.00	11505
5	132	11335	1.15	11467
6	122	12017	1.01	12139
7	111	10935	1.00	11046
8	97	11248	0.86	11345
9	98	11534	0.84	11632
10	102	11309	0.89	11411
11	93	11106	0.83	11199
12	99	11404	0.86	11503
13	80	10953	0.73	11033
14	100	11264	0.88	11364
15	64	11406	0.56	11470
16	80	11275	0.70	11355
17	96	11287	0.84	11383
18	73	11593	0.63	11666
19	88	11422	0.76	11510
20	96	11351	0.84	11447
21	84	11597	0.72	11681
22	87	11535	0.75	11622
23	94	11290	0.83	11384
24	105	11681	0.89	11786
25	80	11318	0.70	11398
26	76	11354	0.66	11430
27	82	11521	0.71	11603
28	78	11359	0.68	11437
29	108	11309	0.95	11417
30	86	11818	0.72	11904
31	81	11518	0.70	11599
32	82	11415	0.71	11497
33	94	11579	0.81	11673
34	85	11441	0.74	11526
35	107	11158	0.95	11265
36	87	11694	0.74	11781
37	92	11490	0.79	11582
38	87	11382	0.76	11469
39	86	11625	0.73	11711
40	87	11331	0.76	11418
41	70	11375	0.61	11445
42	71	11750	0.60	11821
43	100	11487	0.86	11587
44	91	11533	0.78	11624
45	96	11871	0.80	11967
46	109	11191	0.96	11300
47	92	11456	0.80	11548
48	86	11672	0.73	11758
49	90	11549	0.77	11639
50	95	11301	0.83	11396
51	91	11772	0.77	11863
52	90	11432	0.78	11522
53	77	11531	0.66	11608
54	73	11770	0.62	11843
55	82	11470	0.71	11552
56	83	11373	0.72	11456
57	83	11595	0.71	11678
58	78	11591	0.67	11669
59	93	11393	0.81	11486
60	69	11581	0.59	11650
61	75	11609	0.64	11684
62	67	11525	0.58	11592
63	91	11690	0.77	11781
64	93	11565	0.80	11658
65	82	11457	0.71	11539
66	83	11613	0.71	11696
67	78	11542	0.67	11620
68	82	11331	0.72	11413
69	56	11550	0.48	11606
70	90	11664	0.77	11754
71	93	11587	0.80	11680
72	74	11791	0.62	11865
73	95	11511	0.82	11606
74	82	11570	0.70	11652
75	111	11481	0.96	11592
76	94	11374	0.82	11468
77	88	11354	0.77	11442
78	107	11561	0.92	11668
79	80	11581	0.69	11661
80	81	11471	0.70	11552
81	87	11584	0.75	11671
82	95	11767	0.80	11862
83	88	11586	0.75	11674
84	89	11749	0.75	11838
85	80	11617	0.68	11697
86	102	11350	0.89	11452
87	94	11604	0.80	11698
88	89	11296	0.78	11385
89	82	11310	0.72	11392
90	77	11596	0.66	11673
91	106	11432	0.92	11538
92	86	11205	0.76	11291
93	101	11649	0.86	11750
94	91	11512	0.78	11603
95	80	11417	0.70	11497
96	88	11686	0.75	11774
97	84	11508	0.72	11592
98	94	11373	0.82	11467
99	95	11657	0.81	11752
100	83	11383	0.72	11466

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
