CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	610	76288	0.79	76898
2	557	72120	0.77	72677
3	847	83070	1.01	83917
4	575	81827	0.70	82402
5	641	79891	0.80	80532
6	612	81427	0.75	82039
7	610	80415	0.75	81025
8	622	80670	0.77	81292
9	643	80963	0.79	81606
10	633	80621	0.78	81254
11	581	80127	0.72	80708
12	604	81079	0.74	81683
13	583	80866	0.72	81449
14	588	81143	0.72	81731
15	603	81662	0.73	82265
16	577	81288	0.70	81865
17	582	80810	0.72	81392
18	626	81745	0.76	82371
19	566	80713	0.70	81279
20	964	78088	1.22	79052
21	848	79664	1.05	80512
22	577	80958	0.71	81535
23	595	80744	0.73	81339
24	585	81282	0.71	81867
25	649	81057	0.79	81706
26	602	80975	0.74	81577
27	642	81418	0.78	82060
28	569	80791	0.70	81360
29	553	80606	0.68	81159
30	608	81609	0.74	82217
31	574	81249	0.70	81823
32	681	80041	0.84	80722
33	586	81046	0.72	81632
34	947	79368	1.18	80315
35	646	80291	0.80	80937
36	586	81565	0.71	82151
37	706	80111	0.87	80817
38	576	81078	0.71	81654
39	631	81533	0.77	82164
40	658	81016	0.81	81674
41	652	80218	0.81	80870
42	518	80921	0.64	81439
43	591	80528	0.73	81119
44	591	80180	0.73	80771
45	581	81174	0.71	81755
46	831	79445	1.04	80276
47	546	80738	0.67	81284
48	572	81489	0.70	82061
49	689	80758	0.85	81447
50	677	80256	0.84	80933
51	641	80831	0.79	81472
52	572	80874	0.70	81446
53	635	79479	0.79	80114
54	616	80217	0.76	80833
55	572	80501	0.71	81073
56	576	80688	0.71	81264
57	649	81377	0.79	82026
58	605	81172	0.74	81777
59	628	80416	0.77	81044
60	544	81199	0.67	81743
61	549	80585	0.68	81134
62	622	80462	0.77	81084
63	607	80158	0.75	80765
64	536	80620	0.66	81156
65	606	80370	0.75	80976
66	622	80382	0.77	81004
67	684	80397	0.84	81081
68	584	80575	0.72	81159
69	613	80975	0.75	81588
70	624	80669	0.77	81293
71	669	80363	0.83	81032
72	593	80650	0.73	81243
73	639	80188	0.79	80827
74	642	79772	0.80	80414
75	650	80816	0.80	81466
76	593	80554	0.73	81147
77	639	79974	0.79	80613
78	618	81309	0.75	81927
79	572	80803	0.70	81375
80	573	80419	0.71	80992
81	630	80768	0.77	81398
82	678	79494	0.85	80172
83	643	79473	0.80	80116
84	648	80274	0.80	80922
85	660	80226	0.82	80886
86	665	79832	0.83	80497
87	680	80561	0.84	81241
88	598	80265	0.74	80863
89	582	80003	0.72	80585
90	640	80534	0.79	81174
91	639	80169	0.79	80808
92	625	79905	0.78	80530
93	632	79440	0.79	80072
94	678	79952	0.84	80630
95	615	79243	0.77	79858
96	675	79631	0.84	80306
97	577	79646	0.72	80223
98	718	79386	0.90	80104
99	708	79849	0.88	80557
100	615	79452	0.77	80067
