CHG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	293	20993	1.38	21286
2	249	24643	1.00	24892
3	211	23295	0.90	23506
4	149	18498	0.80	18647
5	182	21682	0.83	21864
6	169	21724	0.77	21893
7	181	21512	0.83	21693
8	178	21683	0.81	21861
9	155	21094	0.73	21249
10	178	21349	0.83	21527
11	177	20791	0.84	20968
12	142	21156	0.67	21298
13	144	20954	0.68	21098
14	145	20912	0.69	21057
15	166	20963	0.79	21129
16	151	20919	0.72	21070
17	148	20794	0.71	20942
18	158	20531	0.76	20689
19	141	21095	0.66	21236
20	159	20810	0.76	20969
21	154	20715	0.74	20869
22	156	20727	0.75	20883
23	163	20677	0.78	20840
24	151	20827	0.72	20978
25	132	20841	0.63	20973
26	150	20801	0.72	20951
27	138	20733	0.66	20871
28	153	20738	0.73	20891
29	121	20633	0.58	20754
30	136	20666	0.65	20802
31	145	20707	0.70	20852
32	134	20847	0.64	20981
33	155	20647	0.75	20802
34	149	20651	0.72	20800
35	150	20713	0.72	20863
36	137	20676	0.66	20813
37	139	20102	0.69	20241
38	132	20766	0.63	20898
39	132	20413	0.64	20545
40	137	20420	0.67	20557
41	126	20393	0.61	20519
42	138	20637	0.66	20775
43	153	20454	0.74	20607
44	148	20252	0.73	20400
45	163	20239	0.80	20402
46	146	20238	0.72	20384
47	150	20089	0.74	20239
48	146	19938	0.73	20084
49	148	20123	0.73	20271
50	142	20324	0.69	20466
51	118	20002	0.59	20120
52	144	20074	0.71	20218
53	127	20242	0.62	20369
54	150	20291	0.73	20441
55	138	19832	0.69	19970
56	147	20192	0.72	20339
57	140	19967	0.70	20107
58	133	19625	0.67	19758
59	126	19880	0.63	20006
60	148	19880	0.74	20028
61	148	19582	0.75	19730
62	115	19974	0.57	20089
63	135	19706	0.68	19841
64	158	19718	0.79	19876
65	136	19788	0.68	19924
66	146	20148	0.72	20294
67	145	19495	0.74	19640
68	133	19391	0.68	19524
69	150	19502	0.76	19652
70	147	19537	0.75	19684
71	114	19806	0.57	19920
72	154	19457	0.79	19611
73	150	19393	0.77	19543
74	122	19368	0.63	19490
75	144	19176	0.75	19320
76	140	19223	0.72	19363
77	135	19348	0.69	19483
78	162	19224	0.84	19386
79	146	19082	0.76	19228
80	132	19141	0.68	19273
81	142	19338	0.73	19480
82	136	19109	0.71	19245
83	139	19176	0.72	19315
84	136	19191	0.70	19327
85	174	19176	0.90	19350
86	140	18887	0.74	19027
87	133	18966	0.70	19099
88	127	18814	0.67	18941
89	144	18950	0.75	19094
90	137	18691	0.73	18828
91	153	18421	0.82	18574
92	127	18846	0.67	18973
93	130	18586	0.69	18716
94	141	18510	0.76	18651
95	143	18598	0.76	18741
96	123	18617	0.66	18740
97	131	18522	0.70	18653
98	134	18444	0.72	18578
99	134	18392	0.72	18526
100	173	18347	0.93	18520
