CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	257092	288951	47.08	546043
2	237406	192031	55.28	429437
3	282630	280034	50.23	562664
4	257611	285604	47.42	543215
5	266778	274623	49.28	541401
6	277515	291091	48.81	568606
7	254771	270115	48.54	524886
8	265184	279758	48.66	544942
9	271467	288290	48.50	559757
10	262223	282878	48.11	545101
11	259910	279714	48.17	539624
12	268181	286714	48.33	554895
13	261890	280025	48.33	541915
14	263620	279576	48.53	543196
15	258244	286206	47.43	544450
16	263310	283017	48.20	546327
17	266230	282321	48.53	548551
18	268689	289065	48.17	557754
19	263038	288640	47.68	551678
20	267960	284667	48.49	552627
21	269613	289038	48.26	558651
22	267254	286209	48.29	553463
23	264382	283269	48.28	547651
24	264980	290336	47.72	555316
25	262759	286135	47.87	548894
26	261777	285507	47.83	547284
27	265602	293299	47.52	558901
28	262989	288749	47.67	551738
29	259841	288809	47.36	548650
30	265652	292937	47.56	558589
31	265006	290462	47.71	555468
32	263994	287669	47.85	551663
33	267088	291296	47.83	558384
34	263349	287968	47.77	551317
35	261645	286740	47.71	548385
36	265321	291423	47.66	556744
37	263277	287275	47.82	550552
38	264195	287666	47.87	551861
39	265508	292768	47.56	558276
40	262869	290132	47.53	553001
41	264001	290027	47.65	554028
42	262064	294495	47.09	556559
43	263631	291681	47.47	555312
44	262738	287382	47.76	550120
45	261443	292861	47.17	554304
46	263663	285851	47.98	549514
47	260634	287922	47.51	548556
48	261892	292238	47.26	554130
49	262782	290882	47.46	553664
50	262488	287540	47.72	550028
51	263458	293763	47.28	557221
52	263510	292083	47.43	555593
53	263073	289561	47.60	552634
54	263159	292219	47.38	555378
55	262027	289746	47.49	551773
56	262320	288382	47.63	550702
57	260778	293404	47.06	554182
58	261157	290081	47.38	551238
59	262195	290099	47.47	552294
60	264406	293910	47.36	558316
61	263108	291461	47.44	554569
62	262561	290470	47.48	553031
63	264307	293601	47.37	557908
64	261830	290567	47.40	552397
65	261995	288828	47.56	550823
66	263851	292140	47.46	555991
67	261964	289936	47.47	551900
68	260342	290058	47.30	550400
69	263635	293922	47.28	557557
70	263065	291336	47.45	554401
71	262224	291717	47.34	553941
72	264969	292625	47.52	557594
73	263381	292186	47.41	555567
74	262028	290439	47.43	552467
75	262709	292555	47.31	555264
76	261683	291677	47.29	553360
77	261477	289015	47.50	550492
78	263894	293827	47.32	557721
79	261503	292557	47.20	554060
80	261841	291585	47.31	553426
81	263209	294232	47.22	557441
82	263265	293667	47.27	556932
83	263990	290105	47.64	554095
84	265578	293707	47.49	559285
85	263697	292003	47.45	555700
86	263428	289247	47.66	552675
87	265423	292814	47.55	558237
88	262624	291066	47.43	553690
89	261587	290459	47.39	552046
90	263557	293919	47.28	557476
91	263036	292298	47.37	555334
92	264608	290369	47.68	554977
93	265117	294346	47.39	559463
94	263628	293193	47.35	556821
95	263179	290488	47.53	553667
96	264566	293354	47.42	557920
97	262952	290170	47.54	553122
98	262711	288929	47.62	551640
99	263482	293778	47.28	557260
100	262217	290955	47.40	553172

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	99532	425477	18.96	525009
2	106130	367638	22.40	473768
3	113436	429451	20.89	542887
4	101004	436917	18.78	537921
5	108771	445033	19.64	553804
6	108294	434156	19.96	542450
7	107479	439074	19.66	546553
8	110410	454205	19.55	564615
9	109324	445169	19.72	554493
10	106673	445040	19.33	551713
11	107380	449053	19.30	556433
12	107872	444776	19.52	552648
13	108135	443824	19.59	551959
14	106918	447487	19.29	554405
15	106287	449793	19.11	556080
16	108609	450020	19.44	558629
17	108872	454429	19.33	563301
18	109725	451479	19.55	561204
19	107649	455010	19.13	562659
20	113476	430135	20.87	543611
21	112572	432703	20.64	545275
22	109223	449494	19.55	558717
23	108346	452529	19.32	560875
24	107809	451768	19.27	559577
25	107026	448540	19.26	555566
26	107795	455862	19.12	563657
27	107596	453239	19.18	560835
28	108304	453800	19.27	562104
29	107005	456591	18.99	563596
30	108296	457541	19.14	565837
31	108768	454622	19.31	563390
32	108604	456566	19.22	565170
33	108897	451285	19.44	560182
34	108415	449267	19.44	557682
35	107924	455685	19.15	563609
36	107481	454345	19.13	561826
37	109543	450534	19.56	560077
38	108884	452428	19.40	561312
39	109125	452687	19.42	561812
40	109209	452187	19.45	561396
41	108275	453968	19.26	562243
42	107307	454667	19.09	561974
43	107781	452404	19.24	560185
44	108162	455318	19.20	563480
45	107731	453796	19.19	561527
46	110101	437732	20.10	547833
47	107231	454278	19.10	561509
48	107554	455036	19.12	562590
49	108998	445801	19.65	554799
50	109054	447955	19.58	557009
51	107539	456772	19.06	564311
52	108107	455940	19.17	564047
53	108324	454514	19.25	562838
54	107355	449068	19.29	556423
55	108010	452055	19.29	560065
56	107311	453032	19.15	560343
57	107090	453579	19.10	560669
58	107676	453416	19.19	561092
59	107920	456190	19.13	564110
60	108191	453770	19.25	561961
61	107373	453825	19.13	561198
62	108551	454994	19.26	563545
63	108106	455274	19.19	563380
64	107935	452958	19.24	560893
65	107944	454822	19.18	562766
66	108234	453623	19.26	561857
67	107532	449403	19.31	556935
68	107263	454075	19.11	561338
69	107039	455353	19.03	562392
70	108150	453755	19.25	561905
71	109563	451762	19.52	561325
