CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	89069	2368872	3.62	2457941
2	87137	2024802	4.13	2111939
3	105772	2283101	4.43	2388873
4	86723	2353788	3.55	2440511
5	88464	2311516	3.69	2399980
6	90273	2341488	3.71	2431761
7	88508	2341139	3.64	2429647
8	90277	2360257	3.68	2450534
9	89041	2354061	3.64	2443102
10	87098	2343227	3.58	2430325
11	86681	2342157	3.57	2428838
12	88112	2362129	3.60	2450241
13	87201	2360285	3.56	2447486
14	87846	2368157	3.58	2456003
15	86939	2381839	3.52	2468778
16	87296	2380596	3.54	2467892
17	87818	2380355	3.56	2468173
18	90022	2377554	3.65	2467576
19	87164	2377760	3.54	2464924
20	114306	2219754	4.90	2334060
21	111278	2264389	4.68	2375667
22	88547	2372322	3.60	2460869
23	88094	2371030	3.58	2459124
24	87621	2383395	3.55	2471016
25	88839	2377296	3.60	2466135
26	85881	2377953	3.49	2463834
27	87640	2388033	3.54	2475673
28	87260	2384974	3.53	2472234
29	85881	2379118	3.48	2464999
30	87428	2383874	3.54	2471302
31	86860	2377237	3.53	2464097
32	87477	2368721	3.56	2456198
33	90073	2368729	3.66	2458802
34	89243	2355326	3.65	2444569
35	87087	2376581	3.53	2463668
36	85764	2391638	3.46	2477402
37	92719	2364248	3.77	2456967
38	90562	2360560	3.69	2451122
39	89916	2369726	3.66	2459642
40	89229	2367389	3.63	2456618
41	88334	2360264	3.61	2448598
42	85212	2376127	3.46	2461339
43	86520	2371083	3.52	2457603
44	86234	2360599	3.52	2446833
45	85596	2376680	3.48	2462276
46	101579	2293865	4.24	2395444
47	87084	2368866	3.55	2455950
48	86335	2382067	3.50	2468402
49	94397	2326298	3.90	2420695
50	94345	2330374	3.89	2424719
51	86415	2377813	3.51	2464228
52	85615	2374959	3.48	2460574
53	87181	2358459	3.56	2445640
54	88719	2351513	3.64	2440232
55	87435	2366439	3.56	2453874
56	85680	2368396	3.49	2454076
57	86812	2373864	3.53	2460676
58	86007	2380182	3.49	2466189
59	86512	2373130	3.52	2459642
60	86286	2376016	3.50	2462302
61	86554	2369443	3.52	2455997
62	86981	2361237	3.55	2448218
63	86294	2368549	3.52	2454843
64	85947	2364072	3.51	2450019
65	86982	2357235	3.56	2444217
66	86903	2360836	3.55	2447739
67	89411	2346728	3.67	2436139
68	85531	2363353	3.49	2448884
69	86049	2383130	3.48	2469179
70	87382	2372813	3.55	2460195
71	90121	2337570	3.71	2427691
72	86062	2361802	3.52	2447864
73	87184	2356166	3.57	2443350
74	86386	2351402	3.54	2437788
75	86595	2358291	3.54	2444886
76	87569	2351203	3.59	2438772
77	88567	2351835	3.63	2440402
78	87975	2362292	3.59	2450267
79	86912	2366534	3.54	2453446
80	86058	2360940	3.52	2446998
81	86960	2365467	3.55	2452427
82	95085	2319667	3.94	2414752
83	91006	2327231	3.76	2418237
84	90416	2335600	3.73	2426016
85	88671	2335716	3.66	2424387
86	87971	2328415	3.64	2416386
87	89739	2342615	3.69	2432354
88	87360	2351766	3.58	2439126
89	85663	2354500	3.51	2440163
90	86090	2359399	3.52	2445489
91	86161	2356382	3.53	2442543
92	86377	2352141	3.54	2438518
93	87992	2348414	3.61	2436406
94	87847	2340142	3.62	2427989
95	87791	2331654	3.63	2419445
96	88007	2333514	3.63	2421521
97	87408	2338779	3.60	2426187
98	88050	2338305	3.63	2426355
99	88567	2340139	3.65	2428706
100	88657	2334000	3.66	2422657
