CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	213621	245770	46.50	459391
2	198004	166914	54.26	364918
3	224091	227540	49.62	451631
4	213623	229699	48.19	443322
5	214707	220201	49.37	434908
6	219927	232483	48.61	452410
7	208671	218642	48.83	427313
8	213313	225034	48.66	438347
9	217452	231247	48.46	448699
10	212731	227853	48.28	440584
11	210609	226669	48.16	437278
12	215712	231267	48.26	446979
13	211434	225797	48.36	437231
14	212488	224652	48.61	437140
15	210420	230694	47.70	441114
16	212170	228560	48.14	440730
17	214747	227840	48.52	442587
18	214784	232948	47.97	447732
19	211572	230406	47.87	441978
20	214404	227584	48.51	441988
21	216937	233145	48.20	450082
22	214920	231096	48.19	446016
23	213108	228895	48.21	442003
24	212792	232792	47.76	445584
25	211737	230919	47.83	442656
26	210639	229150	47.90	439789
27	212419	234082	47.57	446501
28	211719	231894	47.73	443613
29	210710	231688	47.63	442398
30	213577	235942	47.51	449519
31	213593	233978	47.72	447571
32	213288	231198	47.99	444486
33	213334	235044	47.58	448378
34	210634	230194	47.78	440828
35	210802	230850	47.73	441652
36	212682	233727	47.64	446409
37	210466	229756	47.81	440222
38	211128	231862	47.66	442990
39	213157	234489	47.62	447646
40	212294	233312	47.64	445606
41	212238	232373	47.74	444611
42	212182	236021	47.34	448203
43	211864	233814	47.54	445678
44	211384	231626	47.72	443010
45	211182	234240	47.41	445422
46	211845	231705	47.76	443550
47	209640	231307	47.54	440947
48	211179	235521	47.28	446700
49	210721	233453	47.44	444174
50	211558	233372	47.55	444930
51	212016	235731	47.35	447747
52	212196	234502	47.50	446698
53	212195	233381	47.62	445576
54	211805	235022	47.40	446827
55	210872	232915	47.52	443787
56	210025	231351	47.58	441376
57	209789	234379	47.23	444168
58	210072	233291	47.38	443363
59	209990	232603	47.45	442593
60	212658	237018	47.29	449676
61	211354	234547	47.40	445901
62	210916	234139	47.39	445055
63	212108	235894	47.35	448002
64	212000	234948	47.43	446948
65	210363	232261	47.53	442624
66	212120	235199	47.42	447319
67	210423	233735	47.38	444158
68	209409	231905	47.45	441314
69	211449	235759	47.28	447208
70	210979	234725	47.34	445704
71	210805	232918	47.51	443723
72	211877	235289	47.38	447166
73	211124	235049	47.32	446173
74	211069	232901	47.54	443970
75	211685	235912	47.29	447597
76	210574	234098	47.35	444672
77	210375	232524	47.50	442899
78	211369	235720	47.28	447089
79	211135	234543	47.37	445678
80	210842	233496	47.45	444338
81	211711	236307	47.26	448018
82	211792	234906	47.41	446698
83	211512	234237	47.45	445749
84	213257	236695	47.40	449952
85	211440	234281	47.44	445721
86	211722	232299	47.68	444021
87	213084	234549	47.60	447633
88	211882	233598	47.56	445480
89	209633	233636	47.29	443269
90	211362	236025	47.24	447387
91	210487	235280	47.22	445767
92	212461	233551	47.64	446012
93	212551	237120	47.27	449671
94	211775	236115	47.28	447890
95	211258	233223	47.53	444481
96	212740	236454	47.36	449194
97	211220	234610	47.38	445830
98	210517	232220	47.55	442737
99	212094	235336	47.40	447430
100	209945	234026	47.29	443971
